molecules,label
O=C(O)Cc1ccccc1,265.5
C[Si](C)(C)Cl,60.0
CNCCc1ccccc1,206.0
CCCCOc1ccc(C)cc1,229.5
ClC(Cl)c1ccccc1,205.0
CCC#CCC,81.0
CCOC(=O)c1ccccc1C,227.0
CC(=O)F,20.8
O=[N+]([O-])c1ccccc1Cl,245.5
Cc1cccc(C(C)(C)C)c1,189.3
C=CC(C)CCC,83.9
CCC[C@H]1CCCCN1,166.5
O=C(c1ccccc1O)c1ccccc1O,333.0
C=CC(O)CC,115.0
C=CCCCl,75.0
CC(C)O[N+](=O)[O-],100.0
CCO[PH](=O)OCC,138.0
COCC(C)Cl,99.0
CC1=CCC(C(C)(C)O)CC1,219.166666666666
C[Si](C)(Cl)O[Si](C)(C)O[Si](C)(C)Cl,184.0
CC(C)C=CC(=O)O,217.0
CC(C)CC(C)(C)O,133.1
CC(C)OP(C)(=O)F,147.0
CCOC(=O)CCCCl,184.0
Cc1c[nH]cn1,263.0
COc1ccc([N+](=O)[O-])cc1,274.0
Cc1cc(Cl)ccc1Cl,200.0
CC(CCl)OC(C)CCl,187.0
COC(=O)c1ccccc1N,256.0
CCCC(C)=O,102.2
O=C1CCOCC1,166.5
CC=C(C)CCl,110.0
FCCCBr,101.4
CCOCCOc1ccccc1,230.0
C1=CCCC=C1,80.5
CCOC(=O)C(F)(F)F,61.0
O=C1OCc2ccccc21,290.0
CC(=O)c1ccc[nH]1,220.0
CCCCCCCCO,195.1
CCC(C)(C)c1ccccc1,192.4
CCCCCCCCCCCC,216.3
CNC1CCCCC1,147.0
ClCCCCCCCCCCl,260.0
CC(=O)OCCCOC(C)=O,209.5
Cc1ccc(Cl)c(Cl)c1,208.9
CCCC(CC)CC(C)C,158.0
CC1=CCOCC1,117.5
FC(F)COC(F)F,55.3
CCC(=O)Cl,80.0
CCOC(=O)CC(C)C(=O)OCC,217.5
CC(C)CS(=O)(=O)CC(C)C,265.0
CC(CCN(C)C)N(C)C,165.0
CCCC(=O)OCc1ccco1,212.5
OCC(F)(F)F,74.0
FC(F)C(F)(F)OCC(F)(F)F,56.2
CCCCN(CCCC)CCCN,205.0
CCCCC(=O)c1ccccc1,245.0
Nc1ccccc1Oc1ccccc1,308.0
Clc1ccoc1,80.0
CC(C)CCNCCC(C)C,188.0
CC1(C)CON(Cc2ccccc2Cl)C1=O,275.0
CCOCC,34.6
CCc1cccc(C(C)C)c1,192.0
NCCCO,187.5
CCCCCCCCOC(=O)CCCC,261.6
ClC=C(Cl)CCl,142.0
CC(C#N)CCC#N,263.0
COCBr,87.0
Oc1ccc(O)o1,261.0
O=C(Cl)c1cccc(F)c1,189.0
CCCC(C)Cl,99.0
C=CCCC#N,140.0
C[C@H](O)C(F)(F)F,75.5
CCOC(=O)C(Br)CBr,214.5
C#CC(=O)OCC,120.0
CC(C)C(C)C(C)C(C)C,156.2
CC=CC=CC=O,174.0
Cc1ccc(Cl)c(Cl)c1Cl,244.0
CCCC(C)CC,91.0
CC(C)(C)CC1(C)CO1,140.9
CC(=O)CCC=C(C)C,173.5
BrCOCBr,154.5
COC(=O)c1cc(OC)c(OC)c(OC)c1,274.5
CCCl,12.3
CN(C)C1CCCCC1,160.0
CCC(=O)OC(C)C,109.5
CCCCCCC(C)CC,167.9
C=C1N(C)c2ccccc2C1(C)C,248.0
ClC1CC2CCC1C2,162.0
CCCCCCCCCCCCCCCCN,322.5
CCCCCCCCCCCc1ccccc1,316.0
COP(OC)OC,111.5
CCCCCCCCON=O,174.5
CC=CCCC=CC,124.5
CCCC(=O)C(=O)CCC,168.0
N#CCCN,185.0
CCCCC(CC)COP(=O)(Oc1ccccc1)Oc1ccccc1,375.0
CC(C)(C)c1ccc(C(C)(C)C)cc1,238.0
CC=C(Cl)C=O,147.5
FC(F)(F)C#CC(F)(F)F,-24.6
CCCC(C)CCC(C)C,158.5
CCCCC(C)Br,144.0
O=C1CCO1,162.0
CCCCOC(=O)c1ccco1,233.0
CCCCCC,68.7
NCCN1CCOCC1,205.0
BrCc1ccc(CBr)cc1,245.0
CN(c1ccccc1)c1ccccc1,293.5
Cc1ccc([N+](=O)[O-])c(C)c1,247.0
O=C(O)CCCC(=O)O,303.0
CC(=O)OO[N+](=O)[O-],106.0
