molecules,pkb
ON=Cc1ccccc1O,1.37
CCOC(=O)N1CCN(C)CC1,7.31
C1=C(c2ccco2)C2CCN1CC2,8.92
Cc1n[nH]c(C)c1Cl,2.23
CCc1ccnc2c1ccc1c(CC)ccnc12,5.6
NCc1ccc(Cl)cc1[N+](=O)[O-],8.34
Oc1ccccc1CN1CCOCC1,7.71
Cc1nc(C)c(C)nc1C,3.36
O=C(O)CSc1nc2cc3c(cc2[nH]1)CCCC3,5.2
CC1CNC(C)CN1,9.98
Cc1[nH]nc2c(Nc3ccccc3)ncnc12,4.61
Nc1ccc(-c2cnc(-c3ccc(Cl)cc3)o2)cc1,3.52
COc1ccc2c(c1OC(C)=O)C13CCN(C)C(C2)C1CCC(OC)C3,9.31
CCC(N)(CO)CO,8.8
CCNCc1ccc(C)cc1,10.04
O=C(CN1CCCCC1)NCc1ccccc1,7.71
CCc1cnc(C(=O)O)cc1CC,6.58
Cc1n[nH]c(=O)[nH]1,9.43
Clc1ccc(-c2ccc(Cl)cn2)nc1,3.96
O=C1N=CN=c2c(O)c3c(c(O)c21)=NC=N3,5.99
Oc1ccc2ncncc2c1,3.12
CCN(CC)c1ccc([N+](=O)[O-])cc1,1.7
Cc1ccc(C)nc1,6.4
COc1ccc(-c2ncc(-c3ccc(N)cc3)o2)cc1,3.71
Clc1ccnc(-c2ccccn2)c1,3.8
O=[N+]([O-])c1ccc2[nH]c(CO)nc2c1,2.21
Cc1ncnc2ccccc12,2.52
CC(C=C(c1cccs1)c1cccs1)N1CCCCCC1,7.96
O=Cc1cc(-c2ccccc2)nnc1NCCN1CCOCC1,6.89
COc1ccc(CCN)cc1,9.79
COCCN=C(c1ccccc1)C(C)(C)O,5.75
CN(C)C=Nc1ccccc1O,7.41
COc1ccc([N+](=O)[O-])c(CN)c1,8.72
Nc1ccc(O)cc1O,5.7
CNCc1ccccn1,8.96
CCNc1nc(N)nc(NCC)n1,5.52
CC(C)N=NC1CCN(C)CC1,8.9
c1cc2c(cn1)CCCC2,6.65
COc1ccccc1C(=O)NC1CC2CCC(C1)N2Cc1ccccc1,8.88
CCOC(=O)CCN,9.13
NCCCc1ccncc1,9.98
CCOC(=O)C1CC2CCN1CC2,8.8
Nc1nnnn1-c1ccccc1,1.12
Nc1ccc2nnc3ccccc3c2c1,6.68
Cc1ccc2c(c1)NCCN2,4.97
O=C(Cc1ccncc1)c1ccccc1,7.05
Nc1cccc(Cl)c1,3.59
CC(C)S(=O)(=O)n1c(N)nc2ccc(C(=CC(N)=O)c3cccc(F)c3)cc21,3.41
CC(C)S(=O)(=O)n1c(N)nc2ccc(C(=CC(N)=O)c3cc(F)ccc3F)cc21,3.4
Nc1c(Cl)cc([N+](=O)[O-])cc1Cl,-2.98
Nc1ccc2c(Cl)c3ccccc3nc2c1,6.74
c1cncc(C2CCCCN2)c1,4.01
Cc1ccccc1CN,9.23
Cn1cc(Cl)cn1,0.16
CC(=O)Nc1cccnc1,4.44
CN(C)c1ccc(N2CCOCC2)cc1,5.7
Nc1cccnc1C(=O)O,7.18
COc1cc([S+](C)[O-])ccc1-c1nc2cc(N)cnc2[nH]1,3.9
CCN(CC)CC(=O)Nc1ccc(C)cc1C,7.95
COc1cccc(C(=O)CCN2CCOCC2)c1,7.1
COc1cc(Br)cc(C(=O)NC2CC3CCC(C2)N3Cc2ccccc2)c1OC,8.84
CCSC1C(O)C2CC(=O)CC1N2C,5.15
CC(=O)Nc1ccccn1,4.09
Cc1cc(-c2ccccc2)nn2c(CN(C)C)cnc12,3.18
O=Cc1ncccc1O,3.4
CC(C)C(N)C(=O)O,9.62
CCN(CC)CCOC(=O)c1ccc2ccccc2c1,7.52
CCCNc1c2ccccc2nc2cccc([N+](=O)[O-])c12,7.2
Nc1ncnc2scnc12,2.77
c1ccc2c(c1)ccc1cccnc12,4.25
CCN(CC)Cc1cc(Cl)cc(Cl)c1O,11.57
Cc1cc(N)nc(N)n1,7.65
CCCCNc1ccccc1,5.11
CC(=O)c1ccc(N=NC(C#N)C#N)cc1,-0.77
NC(=O)C1=CC(c2ccccc2)N=NC1=NCCN1CCOCC1,2.5
Cc1ccc(C(O)CN)cc1,9.06
O=C(NCCN1CCOCC1)c1ccc(Cl)cc1,6.31
COCCNc1ccc(C)cc1,4.64
O=C(c1ccccc1)N1CCNCC1,7.79
CCO[Si](C)(CN)OCC,9.19
CN1CCCCC1c1cccnc1,5.42
O=c1cccc(Cl)[nH]1,7.76
Nc1cccc2c1ccc1ncccc12,5.2
Nc1ccc(-c2ncc(-c3ccc(Cl)cc3)o2)cc1,2.87
CC1=C(CC(C)NCC(O)c2ccc(N)cc2)CCC1(C)C,9.01
Oc1ccc(Cl)cc1CN1CCCC1,11.715
C=c1nc2c(O)c3c(c(O)c2n1C)=NC=NC3=O,6.15
CCc1cc(Cl)n(C)c2nc3ccccc3c1-2,7.46
Cn1ncc2c(NCc3ccccc3)ncnc21,3.66
CN(C)c1ncc2[nH]cnc2n1,4.02
COC(=O)CCCc1c[nH]cn1,7.33
Cc1cc(C)n(C)c(=S)n1,3.15
COc1cccc(NCCS)c1,5.18
C=CC1(O)CC(C)NC2CCCCC21,9.77333333333333
Cc1cccc(C)n1,6.85
O=C(CCNCCC(=O)c1ccccc1)c1ccccc1,8.69
CSc1nccc(C)n1,1.95
CN(C)C=Nc1ccccc1,9.0
